uid,sector,country,year,risk_scenario,total_emissions_tonnes,emissions_abated,price_of_carbon,carbon_cost_total_usd,carbon_cost_avoided_usd,abated_tonnes_cost
C011,Materials,Unknown,2035,High Risk,30975000,0,80.07710526315896,2480388335.53,0.0,0.0
C011,Materials,Unknown,2036,Low Risk,30975000,0,32.39052631578943,1003296552.63,0.0,0.0
C011,Materials,Unknown,2036,Medium Risk,30975000,0,56.79473684210552,1759216973.68,0.0,0.0
C011,Materials,Unknown,2036,High Risk,30975000,0,85.11368421052794,2636396368.42,0.0,0.0
C011,Materials,Unknown,2037,Low Risk,30975000,0,32.72789473684213,1013746539.47,0.0,0.0
C011,Materials,Unknown,2037,Medium Risk,30975000,0,59.45105263157984,1841496355.26,0.0,0.0
C011,Materials,Unknown,2037,High Risk,30975000,0,90.1502631578951,2792404401.32,0.0,0.0
C011,Materials,Unknown,2038,Low Risk,30975000,0,33.06526315789472,1024196526.32,0.0,0.0
C011,Materials,Unknown,2038,Medium Risk,30975000,0,62.10736842105325,1923775736.84,0.0,0.0
C011,Materials,Unknown,2038,High Risk,30975000,0,95.18684210526408,2948412434.21,0.0,0.0
C011,Materials,Unknown,2039,Low Risk,30975000,0,33.40263157894742,1034646513.16,0.0,0.0
C011,Materials,Unknown,2039,Medium Risk,30975000,0,64.76368421052666,2006055118.42,0.0,0.0
C011,Materials,Unknown,2039,High Risk,30975000,0,100.22342105263306,3104420467.11,0.0,0.0
C011,Materials,Unknown,2040,Low Risk,30975000,0,33.74000000000001,1045096500.0,0.0,0.0
C011,Materials,Unknown,2040,Medium Risk,30975000,0,67.42000000000098,2088334500.0,0.0,0.0
C011,Materials,Unknown,2040,High Risk,30975000,0,105.26000000000022,3260428500.0,0.0,0.0
C011,Materials,Unknown,2041,Low Risk,30975000,0,34.0773684210526,1055546486.84,0.0,0.0
C011,Materials,Unknown,2041,Medium Risk,30975000,0,70.07631578947439,2170613881.58,0.0,0.0
C011,Materials,Unknown,2041,High Risk,30975000,0,110.2965789473692,3416436532.89,0.0,0.0
C011,Materials,Unknown,2042,Low Risk,30975000,0,34.4147368421053,1065996473.68,0.0,0.0
C011,Materials,Unknown,2042,Medium Risk,30975000,0,72.7326315789478,2252893263.16,0.0,0.0
C011,Materials,Unknown,2042,High Risk,30975000,0,115.33315789473818,3572444565.79,0.0,0.0
C011,Materials,Unknown,2043,Low Risk,30975000,0,34.75210526315789,1076446460.53,0.0,0.0
C011,Materials,Unknown,2043,Medium Risk,30975000,0,75.38894736842121,2335172644.74,0.0,0.0
C011,Materials,Unknown,2043,High Risk,30975000,0,120.36973684210716,3728452598.68,0.0,0.0
C011,Materials,Unknown,2044,Low Risk,30975000,0,35.089473684210475,1086896447.37,0.0,0.0
C011,Materials,Unknown,2044,Medium Risk,30975000,0,78.04526315789553,2417452026.32,0.0,0.0
C011,Materials,Unknown,2044,High Risk,30975000,0,125.40631578947432,3884460631.58,0.0,0.0
C011,Materials,Unknown,2045,Low Risk,30975000,0,35.42684210526318,1097346434.21,0.0,0.0
C011,Materials,Unknown,2045,Medium Risk,30975000,0,80.70157894736894,2499731407.89,0.0,0.0
C011,Materials,Unknown,2045,High Risk,30975000,0,130.4428947368433,4040468664.47,0.0,0.0
C011,Materials,Unknown,2046,Low Risk,30975000,0,35.764210526315765,1107796421.05,0.0,0.0
C011,Materials,Unknown,2046,Medium Risk,30975000,0,83.35789473684235,2582010789.47,0.0,0.0
C011,Materials,Unknown,2046,High Risk,30975000,0,135.47947368421228,4196476697.37,0.0,0.0
C011,Materials,Unknown,2047,Low Risk,30975000,0,36.101578947368466,1118246407.89,0.0,0.0
C011,Materials,Unknown,2047,Medium Risk,30975000,0,86.01421052631667,2664290171.05,0.0,0.0
C011,Materials,Unknown,2047,High Risk,30975000,0,140.51605263157944,4352484730.26,0.0,0.0
C011,Materials,Unknown,2048,Low Risk,30975000,0,36.438947368421054,1128696394.74,0.0,0.0
C011,Materials,Unknown,2048,Medium Risk,30975000,0,88.67052631579008,2746569552.63,0.0,0.0
C011,Materials,Unknown,2048,High Risk,30975000,0,145.55263157894842,4508492763.16,0.0,0.0
C011,Materials,Unknown,2049,Low Risk,30975000,0,36.77631578947364,1139146381.58,0.0,0.0
C011,Materials,Unknown,2049,Medium Risk,30975000,0,91.3268421052635,2828848934.21,0.0,0.0
C011,Materials,Unknown,2049,High Risk,30975000,0,150.5892105263174,4664500796.05,0.0,0.0
C011,Materials,Unknown,2050,Low Risk,30975000,0,37.113684210526344,1149596368.42,0.0,0.0
C011,Materials,Unknown,2050,Medium Risk,30975000,0,93.98315789473781,2911128315.79,0.0,0.0
C011,Materials,Unknown,2050,High Risk,30975000,0,155.62578947368456,4820508828.95,0.0,0.0
C012,Consumer Discretionary,Brazil,2025,Low Risk,20200000,0,25.56815789473694,516476789.47,0.0,0.0
